Date/Time,Temperature (*C),,
01/24/07 05:15:00.0,27.949,,
01/24/07 05:30:00.0,27.949,,
01/24/07 05:45:00.0,27.924,,
01/24/07 06:00:00.0,27.924,,
01/24/07 06:15:00.0,27.949,,
01/24/07 06:30:00.0,27.949,,
01/24/07 06:45:00.0,27.974,,
01/24/07 07:00:00.0,27.998,,
01/24/07 07:15:00.0,27.998,,
01/24/07 07:30:00.0,28.048,,
01/24/07 07:45:00.0,28.023,,
01/24/07 08:00:00.0,28.072,,
01/24/07 08:15:00.0,28.048,,
01/24/07 08:30:00.0,28.072,,
01/24/07 08:45:00.0,28.097,,
01/24/07 09:00:00.0,28.122,,
01/24/07 09:15:00.0,28.122,,
01/24/07 09:30:00.0,28.196,,
01/24/07 09:45:00.0,28.27,,
01/24/07 10:00:00.0,28.32,,
01/24/07 10:15:00.0,28.32,,
01/24/07 10:30:00.0,28.345,,
01/24/07 10:45:00.0,28.394,,
01/24/07 11:00:00.0,28.419,,
01/24/07 11:15:00.0,28.468,,
01/24/07 11:30:00.0,28.468,,
01/24/07 11:45:00.0,28.642,,
01/24/07 12:00:00.0,28.568,,
01/24/07 12:15:00.0,28.543,,
01/24/07 12:30:00.0,28.667,,
01/24/07 12:45:00.0,28.692,,
